Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Saddiq Bey,Atlanta Hawks,AL,24,62,50,2035,4,11,1,5,2,5,2,3,3,1,0,13,11060509,4556983,"-142,71562552890984",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Goga Bitadze,Orlando Magic,P,24,52,33,906,2,3,0,0,2,3,1,1,3,1,0,5,3670300,2066585,"-77,60221683496063",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Onuralp Bitim,Chicago Bulls,ES,24,8,0,96,1,3,1,2,0,0,0,0,1,0,0,3,2667705,895708,"-197,8320752911449",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Bismack Biyombo,TOT,P,31,34,27,741,2,3,0,0,2,3,0,1,4,1,1,4,8320262,1194075,"-596,7956036660872",
Anthony Black,Orlando Magic,BA,20,58,33,1077,1,3,0,1,1,2,0,1,1,1,0,5,3544529,7245480,"51,07944119674609",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Bol Bol,Phoenix Suns,AP,24,26,0,290,2,4,0,1,2,2,0,0,2,0,0,5,3739798,2165000,"-72,73893775104942",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Marques Bolden,TOT,P,25,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2424600,244502,"-891,6486934858302",
Devin Booker,Phoenix Suns,BA,27,50,50,1788,9,19,2,5,7,13,6,6,3,6,2,27,31762777,36016200,"11,809747227643998",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Chris Boucher,Toronto Raptors,AP,31,50,0,705,2,4,0,1,1,2,1,1,2,0,0,6,6747486,11750000,"42,574581080569246",https://cdn.ssref.net/req/202312151/tlogo/bbr/TOR-2024.png
James Bouknight,Charlotte Hornets,ES,23,14,0,81,1,2,0,2,0,0,0,0,0,0,0,3,2675241,4570080,"41,46181625038264",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHO-2024.png
Jamaree Bouyea,Portland Trail Blazers,BA,24,6,0,57,0,3,0,1,0,2,0,0,1,1,1,1,3879807,35389,"-10863,314358813956",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Malaki Branham,San Antonio Spurs,BA,20,59,23,1228,3,8,1,3,2,4,0,0,1,2,1,9,4601495,3071880,"-49,79410232307756",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Christian Braun,Denver Nuggets,ES,22,64,1,1225,2,5,0,1,1,3,1,1,2,1,0,6,3268075,2949120,"-10,81526798403753",https://cdn.ssref.net/req/202312151/tlogo/bbr/DEN-2024.png
Mikal Bridges,Brooklyn Nets,AL,27,64,64,2265,7,16,2,7,4,9,3,4,3,3,2,20,24176932,21700000,"-11,414433487895034",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Miles Bridges,Charlotte Hornets,AL,25,53,51,1985,8,17,2,6,5,11,2,3,6,3,2,21,18889659,7921300,"-138,46666494454016",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHO-2024.png
Oshae Brissett,Boston Celtics,AL,25,40,0,427,1,2,0,1,0,1,0,1,1,0,0,3,3297785,2165000,"-52,322668903323525",https://cdn.ssref.net/req/202312151/tlogo/bbr/BOS-2024.png
Izaiah Brockington,New Orleans Pelicans,BA,24,1,0,3,2,5,0,0,2,4,0,0,1,0,0,4,4669352,64343,"-7156,969725773757",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Malcolm Brogdon,Portland Trail Blazers,BA,31,39,25,1121,5,12,2,5,3,7,2,2,3,5,1,15,24248801,22500000,"-7,772450901226137",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Armoni Brooks,Brooklyn Nets,BA,25,10,0,104,1,4,1,3,0,1,0,0,1,0,0,4,3732092,241285,"-1446,7567550030979",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Dillon Brooks,Houston Rockets,AL,28,54,54,1692,4,10,1,5,2,5,1,2,2,1,1,12,14208252,22627671,"37,20850474823952",https://cdn.ssref.net/req/202312151/tlogo/bbr/HOU-2024.png
Bruce Brown,TOT,ES,27,52,38,1463,4,8,0,2,3,6,1,2,3,2,1,10,12661173,21951220,"42,321320735946045",
Jaylen Brown,Boston Celtics,AL,27,58,58,1938,8,17,2,5,6,11,3,4,4,3,2,22,29503769,31830357,"7,309335814859532",https://cdn.ssref.net/req/202312151/tlogo/bbr/BOS-2024.png
Kobe Brown,Los Angeles Clippers,AP,24,34,0,285,0,1,0,1,0,0,0,0,1,0,0,1,2538566,2413320,"-5,1897829160829",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAC-2024.png
Moses Brown,Portland Trail Blazers,P,24,13,4,114,1,2,0,0,1,2,0,0,2,0,0,2,3340840,2165000,"-54,31135866856458",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Jalen Brunson,New York Knicks,BA,27,58,58,2048,9,20,2,6,7,13,5,6,3,6,2,27,31050575,26346666,"-17,853907146922005",https://cdn.ssref.net/req/202312151/tlogo/bbr/NYK-2024.png
Thomas Bryant,Miami Heat,P,26,27,3,275,1,3,0,0,1,2,0,0,1,0,0,4,3554623,2528233,"-40,5971624747003",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIA-2024.png
Kobe Bufkin,Atlanta Hawks,ES,20,9,0,89,1,4,0,1,0,2,0,0,1,1,0,3,3160769,4094280,"22,800357564470094",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Reggie Bullock,Houston Rockets,AL,32,26,0,226,0,2,0,1,0,0,0,0,1,0,0,2,4090139,3196448,"-27,95888960962212",https://cdn.ssref.net/req/202312151/tlogo/bbr/HOU-2024.png
Alec Burks,TOT,ES,32,54,1,1072,3,9,2,5,1,3,2,2,1,1,0,11,12718794,10489600,"-21,25147242085001",
Jimmy Butler,Miami Heat,AP,34,44,44,1501,6,13,1,2,5,11,6,8,3,4,1,21,38386922,45183960,"15,043032436974077",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIA-2024.png
Toumani Camara,Portland Trail Blazers,AP,23,60,40,1448,2,6,0,2,1,3,1,1,3,1,1,7,3668865,1119563,"-227,70510811241152",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Clint Capela,Atlanta Hawks,P,29,55,55,1390,4,8,0,0,4,8,1,2,5,1,0,11,16812467,22116000,"23,98052277113888",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Jevon Carter,Chicago Bulls,BA,28,61,0,830,1,5,1,3,0,1,0,0,0,1,0,4,6320064,6190476,"-2,0933485282603392",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Wendell Carter Jr.,Orlando Magic,P,24,37,31,968,4,7,1,2,2,4,1,2,4,1,1,11,10984804,13050000,"15,825256123128636",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Alex Caruso,Chicago Bulls,ES,29,55,42,1513,3,7,1,4,1,2,1,1,2,2,1,9,9903650,9460000,"-4,689752636434408",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Malcolm Cazalon,Detroit Pistons,ES,22,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1967620,389274,"-405,4589432928778",https://cdn.ssref.net/req/202312151/tlogo/bbr/DET-2024.png
Julian Champagnie,San Antonio Spurs,AL,22,56,41,954,1,4,1,3,0,1,0,1,2,1,0,5,3381124,3000000,"-12,704165131402249",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Max Christie,Los Angeles Lakers,ES,20,51,7,815,1,3,0,1,0,1,0,0,2,1,0,4,3145596,1719864,"-82,89795770475841",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAL-2024.png
Sidy Cissoko,San Antonio Spurs,AL,19,6,0,32,0,0,0,0,0,0,0,0,1,0,0,1,2301868,1119563,"-105,60417793989633",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Jordan Clarkson,Utah Jazz,ES,31,53,19,1616,6,14,1,5,4,9,3,3,2,5,2,17,24014792,23487629,"-2,2444305224182846",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Noah Clowney,Brooklyn Nets,AP,19,8,0,79,1,2,0,0,1,1,0,0,1,1,0,3,3165435,3089520,"-2,457204767416049",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Amir Coffey,Los Angeles Clippers,AL,26,50,9,936,2,4,0,1,1,2,0,1,1,0,0,5,4046006,3666667,"-10,34560818537074",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAC-2024.png
John Collins,Utah Jazz,AP,26,60,58,1695,5,10,1,3,4,7,1,2,6,1,1,14,19970507,25340000,"21,189790296592893",https://cdn.ssref.net/req/202312151/tlogo/bbr/UTA-2024.png
Zach Collins,San Antonio Spurs,P,26,52,26,1209,4,9,0,2,3,6,1,2,3,2,1,11,10328010,7700000,"-34,130002938774204",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Mike Conley,Minnesota Timberwolves,BA,36,59,59,1706,3,8,2,5,1,2,1,1,2,6,1,10,21170462,24360000,"13,093338501346075",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIN-2024.png
Pat Connaughton,Milwaukee Bucks,AL,31,58,2,1254,2,4,1,3,0,1,0,0,2,1,0,5,7582848,9423869,"19,5357226809046",https://cdn.ssref.net/req/202312151/tlogo/bbr/MIL-2024.png
Bilal Coulibaly,Washington Wizards,AL,19,59,11,1582,2,6,0,2,1,3,1,1,3,1,1,8,4212632,6614280,"36,310031373292865",https://cdn.ssref.net/req/202312151/tlogo/bbr/WAS-2024.png
Robert Covington,TOT,5816311.458988685,33,29,6,488,1,3,0,1,0,1,0,0,2,0,0,4,5982044,11692308,"48,83778003104736",
