Jugador,Salario
Matt Hurt,128686
Tosan Evbuomwan,64343
Jimmy Butler,45183960
Bam Adebayo,32600060
Tyler Herro,27000000
Terry Rozier,23205221
Duncan Robinson,18154000
Caleb Martin,6802950
Kevin Love,3835738
Jaime Jaquez Jr.,3510600
Josh Richardson,2891467
Thomas Bryant,2528233
Nikola Jovic,2352000
Haywood Highsmith,1902137
Dru Smith,1801769
Orlando Robinson,1801769
Delon Wright,947205
Rudy Gobert,41000000
Karl-Anthony Towns,36016200
Mike Conley,24360000
Anthony Edwards,13534817
Naz Reid,12950400
Monte Morris,9800926
Kyle Anderson,9219512
Nickeil Alexander-W.,4687500
Jaden McDaniels,3901399
Wendell Moore,2421720
Jordan McLaughlin,2320000
Leonard Miller,1800000
Josh Minott,1719864
Justin Jackson,145301
Shai Gilgeous-Alexa.,33386850
Gordon Hayward,31500000
Kevin Porter Jr.,18239000
Luguentz Dort,15277778
Chet Holmgren,10386000
Josh Giddey,6587160
Rudy Gay,6479000
Kenrich Williams,6175000
Cason Wallace,5291400
Ousmane Dieng,4798440
Jalen Williams,4558680
Usman Garuba,2588400
TyTy Washington,2320440
Jaylin Williams,2000000
Isaiah Joe,1997238
Aaron Wiggins,1836096
Bismack Biyombo,1194075
Lindy Waters,1116764
Mike Muscala,808297
Jack White,600000
Jonathan Isaac,17400000
Markelle Fultz,17000000
Wendell Carter Jr.,13050000
Gary Harris,13000000
Paolo Banchero,11608080
Joe Ingles,11000000
Moritz Wagner,8000000
Jalen Suggs,7252200
Anthony Black,7245480
Cole Anthony,5539771
Franz Wagner,5508720
Chuma Okeke,5266713
Jett Howard,5026800
Goga Bitadze,2066585
Caleb Houstan,2000000
Pascal Siakam,37893408
Myles Turner,20975000
Doug McDermott,13750000
T.J. McConnell,8700000
Bennedict Mathurin,6916080
Obi Toppin,6803012
Jarace Walker,6059520
Tyrese Haliburton,5808435
Aaron Nesmith,5634257
Furkan Korkmaz,5370370
Jalen Smith,5043773
Cory Joseph,3196448
Isaiah Jackson,2696280
James Johnson,2608596
Ben Sheppard,2537160
Andrew Nembhard,2131905
Nik Stauskas,702311
Juwan Morgan,576230
Malik Fitts,555217
C.J. McCollum,35802469
Zion Williamson,34005250
Brandon Ingram,33833400
Jonas Valanciunas,15435000
Herbert Jones,12015150
"Larry Nance, Jr.",10375000
Dyson Daniels,5784120
Jordan Hawkins,4310160
Trey Murphy III,3359280
Cody Zeller,3196448
Naji Marshall,1930681
Jose Alvarado,1836096
E.J. Liddell,1801769
Jeremiah Robinson-E.,1025680
Izaiah Brockington,64343
Jalen Crutcher,64343
Kaiser Gates,35389
Kevin Durant,47649433
Bradley Beal,46741590
Devin Booker,36016200
Jusuf Nurkic,16875000
Royce O'Neale,9500000
Grayson Allen,8500000
Nassir Little,6250000
Eric Gordon,3196448
Josh Okogie,2815937
Keon Johnson,2808720
David Roddy,2718240
Damion Lee,2528233
Drew Eubanks,2346614
Bol Bol,2165000
Thaddeus Young,1010371
