Jugador,Salario
Jaden McDaniels,2161440
Jordan McLaughlin,2160000
Naz Reid,1930681
Jaylen Nowell,1930681
Bryn Forbes,1836090
Austin Rivers,1836090
Nathan Knight,1836090
Josh Minott,1017781
LeBron James,44474988
Anthony Davis,37980720
D'Angelo Russell,31377750
Malik Beasley,15558035
Mohamed Bamba,10300000
Lonnie Walker,6479000
Rui Hachimura,6263188
Jarred Vanderbilt,4374000
Davon Reed,1902133
Wenyen Gabriel,1878720
Troy Brown,1836090
Dennis Schröder,1836090
Austin Reaves,1563518
Max Christie,1017781
Matt Ryan,442439
Sterling Brown,105522
Shaquille Harrison,12260
Tristan Thompson,10552
Stephen Curry,48070014
Klay Thompson,40600080
Andrew Wiggins,33616770
Draymond Green,25806468
Gary Payton,8300000
Kevon Looney,8000000
Jonathan Kuminga,5739840
Donte DiVincenzo,4500000
Jordan Poole,3901399
Moses Moody,3740160
Patrick Baldwin,2226000
JaMychal Green,1836090
Andre Iguodala,1836090
Ryan Rollins,1017781
Kawhi Leonard,42492492
Paul George,42492492
Eric Gordon,19568360
Norman Powell,16758621
Marcus Morris,16372093
Robert Covington,12307692
Nicolas Batum,10843350
Ivica Zubac,10123457
Mason Plumlee,9080417
Amir Coffey,3395062
Bones Hyland,2201520
Terance Mann,1930681
Brandon Boston,1563518
Jason Preston,1563518
Russell Westbrook,495955
Kevin Durant,44119845
Devin Booker,33833400
Deandre Ayton,30913750
Chris Paul,28400000
Landry Shamet,9500000
Cameron Payne,6000000
Torrey Craig,5121951
Darius Bazley,4264629
Bismack Biyombo,1836090
T.J. Warren,1836090
Josh Okogie,1836090
Damion Lee,1836090
Jock Landale,1563518
Terrence Ross,580373
De'Aaron Fox,30351780
Domantas Sabonis,18500000
Harrison Barnes,18352273
Kevin Huerter,14508929
Richaun Holmes,11215260
Malik Monk,9472219
Keegan Murray,8008440
Davion Mitchell,4833600
Terence Davis,4000000
Alex Len,3918600
Trey Lyles,2625000
Chimezie Metu,1910860
KZ Okpala,1902133
Matthew Dellavedova,1836090
Kessler Edwards,1637966
PJ Dozier,105522
Chima Moneke,500000
Sam Merrill,150000
Deonte Burton,105522
DJ Steward,50000
Jaren Jackson,28946605
Steven Adams,17926829
Tyus Jones,15000000
Luke Kennard,14415545
Ja Morant,12119440
Dillon Brooks,11400000
Ziaire Williams,4591680
Brandon Clarke,4343920
Jake LaRavia,3047640
David Roddy,2588640
John Konchar,2300000
Desmond Bane,2130240
Santi Aldama,2094120
Killian Tillie,1901625
Xavier Tillman,1782621
Kennedy Chandler,1200000
Nikola Jokić,33047803
Jamal Murray,31650600
Michael Porter,30913750
Aaron Gordon,19690909
Kentavious Caldwell-Pope,14004703
Bruce Brown,6479000
Ish Smith,4725000
Jeff Green,4500000
Christian Braun,2808600
Zeke Nnaji,2617800
Vlatko Čančar,2234359
Peyton Watson,2193960
Thomas Bryant,1836090
DeAndre Jordan,1836090
Reggie Jackson,580373
Bojan Bogdanović,19550000
Marvin Bagley,12500000
Cade Cunningham,10552800
Alec Burks,10012800
James Wiseman,9603360
Nerlens Noel,9240000
Kemba Walker,9165471
DeAndre Jordan,7827907
Jaden Ivey,7252200
Killian Hayes,5837760
Hamidou Diallo,5200000
Cory Joseph,5155500
Jalen Duren,4124280
Isaiah Stewart,3433320
Dewayne Dedmon,2748674
Rodney McGruder,1836090
Isaiah Livers,1563518
R.J. Hampton,485403
Eugene Omoruyi,94136
Stanley Umude,58493
Gordon Hayward,30075000
Terry Rozier,21486316
Kelly Oubre,12600000
Reggie Jackson,10876844
Nicolas Batum,8856969
LaMelo Ball,8623920
Cody Martin,7000000
P.J. Washington,5808435
James Bouknight,4362240
Mark Williams,3722040
Kai Jones,2909040
Svi Mykhailiuk,1836090
Dennis Smith,1836090
Nick Richards,1782621
JT Thor,1563518
Jonathan Isaac,17400000
Markelle Fultz,16500000
Wendell Carter,14150000
Gary Harris,13000000
Patrick Beverley,13000000
Paolo Banchero,11055120
Terrence Ross,10581484
Jalen Suggs,6922320
Franz Wagner,5258280
Cole Anthony,3613680
Chuma Okeke,3433320
R.J. Hampton,2412840
Bol Bol,2200000
Caleb Houstan,2000000
Moritz Wagner,1878720
Michael Carter-Williams,652829
Goga Bitadze,612181
Bradley Beal,43279250
Kristaps Porziņģis,33833400
Will Barton,14375000
Kyle Kuzma,13000000
Monte Morris,9125000
Delon Wright,7804878
Kendrick Nunn,5250000
Deni Avdija,4916160
Johnny Davis,4810320
Corey Kispert,3552840
Daniel Gafford,1930681
Anthony Gill,1836090
Taj Gibson,1836090
Vernon Carey,1782621
Isaiah Todd,1575000
Xavier Cooks,140384
Jamaree Bouyea,58493
Myles Turner,35069500
Buddy Hield,21177750
Daniel Theis,8694369
T.J. McConnell,8100000
Bennedict Mathurin,6586800
Goga Bitadze,4765339
Jalen Smith,4670160
Tyrese Haliburton,4215120
George Hill,4000000
Chris Duarte,3936960
Aaron Nesmith,3804360
Jordan Nwora,2800000
Isaiah Jackson,2573760
Andrew Nembhard,2244111
Oshae Brissett,1846738
Serge Ibaka,1836090
James Johnson,590926
Terry Taylor,1563518
Nik Stauskas,702311
Juwan Morgan,576230
Malik Fitts,555217
Zach LaVine,37096500
DeMar DeRozan,27300000
Nikola Vučević,22000000
Lonzo Ball,19534884
Alex Caruso,9030000
Patrick Williams,7775400
Coby White,7413955
Andre Drummond,3200000
Derrick Jones,3200000
Dalen Terry,3191400
Tony Bradley,2036318
Goran Dragić,1836090
Javonte Green,1815677
Marko Simonovic,1563518
Ayo Dosunmu,1563518
Patrick Beverley,506508
Pascal Siakam,35448672
Fred VanVleet,21250000
Gary Trent,17505000
OG Anunoby,17357143
Chris Boucher,12690000
Jakob Poeltl,9398148
Thaddeus Young,8000000
Scottie Barnes,7644600
Otto Porter,6000000
Precious Achiuwa,2840160
Malachi Flynn,2145720
Svi Mykhailiuk,1878720
Juancho Hernangómez,1836090
Dalano Banton,1563518
Christian Koloko,1500000
Justin Champagnie,825000
Joe Wieskamp,94136
Will Barton,432642
D.J. Wilson,250000
Ish Wainright,125000
Armoni Brooks,50000
Saben Lee,10492
Trae Young,37096500
John Collins,23500000
Clint Capela,18706897
Bogdan Bogdanović,18000000
Dejounte Murray,16571120
De'Andre Hunter,9835881
Onyeka Okongwu,6395160
AJ Griffin,3536160
Saddiq Bey,2959080
Jalen Johnson,2792640
Bruno Fernando,2717391
Garrison Mathews,2000000
Aaron Holiday,1836090
Vit Krejci,1563518
Tyrese Martin,1017781
Derrick Favors,105522
Jimmy Butler,37653300
Bam Adebayo,30351780
Kyle Lowry,28333334
Duncan Robinson,16902000
Victor Oladipo,8750000
Caleb Martin,6479000
Tyler Herro,5722116
Kevin Love,3114138
Nikola Jović,2239920
Udonis Haslem,1836090
Gabe Vincent,1815677
Max Strus,1815677
Haywood Highsmith,1752638
Omer Yurtseven,1752638
Cody Zeller,517060
Jamaree Bouyea,58493
Ben Simmons,35448672
Mikal Bridges,20100000
Spencer Dinwiddie,19500000
Joe Harris,18642857
Dorian Finney-Smith,12939848
Royce O'Neale,9200000
Nic Claxton,8500000
Seth Curry,8496653
Patty Mills,6479000
Cameron Johnson,5887899
Jevon Carter,3925000
Cam Thomas,2138160
Day'Ron Sharpe,2109480
Edmond Sumner,1968175
Yuta Watanabe,1836090
Moses Brown,105522
Nerlens Noel,105522
Donovan Mitchell,30913750
Kevin Love,27442830
Jarrett Allen,20000000
Caris LeVert,18796296
Darius Garland,8920795
Evan Mobley,8478720
Cedi Osman,7426088
Isaac Okoro,7040880
Ricky Rubio,5853659
Dylan Windler,4037278
Danny Green,2000000
Dean Wade,1930681
Raul Neto,1836090
Robin Lopez,1836090
Lamar Stevens,1782621
Sam Merrill,105522
Giannis Antetokounmpo,42492492
Khris Middleton,37948276
Jrue Holiday,33665040
Brook Lopez,13906976
Bobby Portis,10843350
Jae Crowder,10183800
Grayson Allen,8500000
Joe Ingles,6479000
Pat Connaughton,5728393
MarJon Beauchamp,2485200
Jevon Carter,2100000
Thanasis Antetokounmpo,1878720
Wesley Matthews,1836090
Goran Dragić,390433
Meyers Leonard,105522
Jalen Brunson,27733332
Julius Randle,23760000
Evan Fournier,18000000
Mitchell Robinson,17045454
Derrick Rose,14520730
Josh Hart,12960000
RJ Barrett,10900635
Isaiah Hartenstein,7804879
Obi Toppin,5348280
Immanuel Quickley,2316240
Quentin Grimes,2277000
Jericho Sims,1639842
Miles McBride,1563518
Isaiah Roby,400000
Tobias Harris,37633050
Joel Embiid,33616770
James Harden,33000000
P.J. Tucker,10490000
De'Anthony Melton,8250000
Furkan Korkmaz,5000000
Danuel House,4105000
Georges Niang,3465000
Tyrese Maxey,2726880
Montrezl Harrell,2463490
Jaden Springer,2125200
Shake Milton,1997718
Jalen McDaniels,1930681
Paul Reed,1782621
Dewayne Dedmon,580373
Trevelin Queen,330000
Charles Bassey,74742
Jayson Tatum,30351780
Jaylen Brown,28741071
Al Horford,26500000
Malcolm Brogdon,22600000
Marcus Smart,17457142
Derrick White,16892857
Robert Williams,10937502
Danilo Gallinari,6479000
Grant Williams,4306281
Mike Muscala,3500000
Payton Pritchard,2239200
Luke Kornet,2133278
Blake Griffin,1836090
Sam Hauser,1637966
Demetrius Jackson,92857
Justin Champagnie,28241
