Player,Tm,Pos,Age,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,DRB,AST,TOV,PTS,Predict_salario,Real_salario,Diferencia_%,Image_URL
Saddiq Bey,Atlanta Hawks,AL,24,62,50,2035,4,11,1,5,2,5,2,3,3,1,0,13,10331968,4556983,"-126,72825460495358",https://cdn.ssref.net/req/202312151/tlogo/bbr/ATL-2024.png
Goga Bitadze,Orlando Magic,P,24,52,33,906,2,3,0,0,2,3,1,1,3,1,0,5,3666423,2066585,"-77,4146100666287",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Onuralp Bitim,Chicago Bulls,ES,24,8,0,96,1,3,1,2,0,0,0,0,1,0,0,3,2684231,895708,"-199,6771163883023",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHI-2024.png
Bismack Biyombo,TOT,P,31,34,27,741,2,3,0,0,2,3,0,1,4,1,1,4,8256818,1194075,"-591,4823718502",
Anthony Black,Orlando Magic,BA,20,58,33,1077,1,3,0,1,1,2,0,1,1,1,0,5,3548921,7245480,"51,01881463116644",https://cdn.ssref.net/req/202312151/tlogo/bbr/ORL-2024.png
Bol Bol,Phoenix Suns,AP,24,26,0,291,2,3,0,1,2,2,0,0,2,0,0,5,3588320,2165000,"-65,74229147537295",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Marques Bolden,TOT,P,25,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2428904,244502,"-893,4087936131046",
Devin Booker,Phoenix Suns,BA,27,50,50,1788,9,19,2,5,7,13,6,6,3,6,2,27,31739478,36016200,"11,874439649171423",https://cdn.ssref.net/req/202312151/tlogo/bbr/PHO-2024.png
Chris Boucher,Toronto Raptors,AP,31,50,0,705,2,4,0,1,1,2,1,1,2,0,0,6,6697644,11750000,"42,99877319153935",https://cdn.ssref.net/req/202312151/tlogo/bbr/TOR-2024.png
James Bouknight,Charlotte Hornets,ES,23,14,0,81,1,2,0,2,0,0,0,0,0,0,0,3,2574151,4570080,"43,67381424606255",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHO-2024.png
Jamaree Bouyea,Portland Trail Blazers,BA,24,6,0,57,0,3,0,1,0,2,0,0,1,1,1,1,3904964,35389,"-10934,401359623474",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Malaki Branham,San Antonio Spurs,BA,20,59,23,1228,3,8,1,3,2,4,0,0,1,2,1,9,4570254,3071880,"-48,77710511289912",https://cdn.ssref.net/req/202312151/tlogo/bbr/SAS-2024.png
Christian Braun,Denver Nuggets,ES,22,64,1,1225,2,5,0,1,1,3,1,1,2,1,0,6,3283646,2949120,"-11,34326929863036",https://cdn.ssref.net/req/202312151/tlogo/bbr/DEN-2024.png
Mikal Bridges,Brooklyn Nets,AL,27,64,64,2265,7,16,2,7,4,9,3,4,3,3,2,20,23668317,21700000,"-9,070589448209319",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Miles Bridges,Charlotte Hornets,AL,25,53,51,1985,8,17,2,6,5,11,2,3,6,3,2,21,18019390,7921300,"-127,48021284267259",https://cdn.ssref.net/req/202312151/tlogo/bbr/CHO-2024.png
Oshae Brissett,Boston Celtics,AL,25,40,0,427,1,2,0,1,0,1,0,1,1,0,0,3,3277966,2165000,"-51,40724518177947",https://cdn.ssref.net/req/202312151/tlogo/bbr/BOS-2024.png
Izaiah Brockington,New Orleans Pelicans,BA,24,1,0,3,2,5,0,1,2,4,0,0,1,0,0,4,4669352,64343,"-7156,969725773757",https://cdn.ssref.net/req/202312151/tlogo/bbr/NOP-2024.png
Malcolm Brogdon,Portland Trail Blazers,BA,31,39,25,1121,5,12,2,5,3,7,2,2,3,5,1,15,23677919,22500000,"-5,23519934446507",https://cdn.ssref.net/req/202312151/tlogo/bbr/POR-2024.png
Armoni Brooks,Brooklyn Nets,BA,25,10,0,104,1,4,1,3,0,1,0,0,1,0,0,4,3732092,241285,"-1446,7567550030979",https://cdn.ssref.net/req/202312151/tlogo/bbr/BRK-2024.png
Dillon Brooks,Houston Rockets,AL,28,54,54,1692,4,10,1,5,2,5,1,2,2,1,1,12,13620804,22627671,"39,8046571644634",https://cdn.ssref.net/req/202312151/tlogo/bbr/HOU-2024.png
Bruce Brown,TOT,ES,27,52,38,1463,4,8,0,2,3,6,1,2,3,2,1,10,12518788,21951220,"42,96996654315854",
Jaylen Brown,Boston Celtics,AL,27,58,58,1938,8,17,2,5,6,11,3,4,4,3,2,22,28825116,31830357,"9,4414298189506",https://cdn.ssref.net/req/202312151/tlogo/bbr/BOS-2024.png
Kobe Brown,Los Angeles Clippers,AP,24,34,0,285,0,1,0,1,0,0,0,0,1,0,0,1,2557217,2413320,"-5,962624058317526",https://cdn.ssref.net/req/202312151/tlogo/bbr/LAC-2024.png
